INE;Nom;Prénom;MAIL;Téléphone;"Date de naissance";"Dernier cursus";"Formation choisie";"Premier voeu";"Année du BAC"
100000000W;Meas;Kévin;measkevin@gmail.com;/;1/1/2014;dsfdssdf;"Licence 3 AES";"L3 Parcours Travail et Ressources Humaines (TRH)";2010
100000000W;Meas;Kévin;measkevin@gmail.com;/;1/1/2014;dsfdssdf;"Licence 3 AES";"L3 Parcours Travail et Ressources Humaines (TRH)";2010
100000000W;Meas;Kévin;measkevin@gmail.com;/;1/1/2014;dsfdssdf;"Licence 3 AES";"L3 Parcours Travail et Ressources Humaines (TRH)";2010
100000000W;Meas;Kévin;measkevin@gmail.com;/;1/1/2014;sdf;"Licence 3 AES";"L3 Parcours Travail et Ressources Humaines (TRH)";2010
100000000W;Meas;Kévin;measkevin@gmail.com;/;1/1/2014;dgdfg;"Licence 3 AES";"L3 Parcours Travail et Ressources Humaines (TRH)";2010
100000000W;Meas;Kévin;measkevin@gmail.com;/;1/1/2014;dgdfg;"Licence 3 AES";"L3 Parcours Travail et Ressources Humaines (TRH)";2010
100000000W;Meas;Kévin;measkevin@gmail.com;/;1/1/2014;dgdfg;"Licence 3 AES";"L3 Parcours Travail et Ressources Humaines (TRH)";2010
100000000W;Meas;Kévin;measkevin@gmail.com;/;1/1/2014;sdfs;"Licence 3 AES";"L3 Parcours Travail et Ressources Humaines (TRH)";2010
100000000W;Meas;Kévin;measkevin@gmail.com;/;1/1/2014;dgdfg;"Licence 3 AES";"L3 Parcours Travail et Ressources Humaines (TRH)";2010
100000000W;Meas;Kévin;measkevin@gmail.com;/;1/1/2014;dgdfg;"Licence 3 AES";"L3 Parcours Travail et Ressources Humaines (TRH)";2010
100000000W;Meas;Kévin;measkevin@gmail.com;/;1/1/2014;dgdfg;"Licence 2 AES";"L2 AES";2010
100000000W;Meas;Kévin;measkevin@gmail.com;/;1/1/2014;dfgdf;"Licence 3 AES";"L3 Parcours Gestion des Entreprises (GE)";2010
100000000W;Meas;Kévin;measkevin@gmail.com;/;1/1/2014;dgdfg;"Licence 3 AES";"L3 Parcours Travail et Ressources Humaines (TRH)";2010
100000000W;Meas;Kévin;measkevin@gmail.com;/;1/1/2014;dsfsdf;"Licence 3 AES";"L3 Parcours Travail et Ressources Humaines (TRH)";2010
100000000W;Meas;Kévin;measkevin@gmail.com;/;1/1/2014;dsfsf;"Licence 3 AES";"L3 Parcours Travail et Ressources Humaines (TRH)";2010
100000000W;Meas;Kévin;measkevin@gmail.com;/;1/1/2014;dfg;"Licence 3 AES";"L3 Parcours Travail et Ressources Humaines (TRH)";2010
100000000W;Meas;Kévin;measkevin@gmail.com;/;1/1/2014;dfgdf;"Licence 3 AES";"L3 Parcours Travail et Ressources Humaines (TRH)";2010
100000000W;Meas;Kévin;measkevin@gmail.com;/;1/1/2014;dsfs;"Licence 3 AES";"L3 Parcours Travail et Ressources Humaines (TRH)";2010
